# gunzip -c exp_FG/tri_8_2000_ali/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang_bigram 
# Started at Tue Aug 27 20:24:42 IST 2024
#
At utterance begin, sil accounts for 95.6% of phone occurrences, with duration (median, mean, 95-percentile) is (28,30.8,68) frames.
At utterance begin, nonsilence accounts for 4.3% of phone occurrences, with duration (median, mean, 95-percentile) is (9,12.9,32) frames.
At utterance begin, k_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (9,13.2,35) frames.
At utterance begin, p_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (11,13.5,33) frames.
At utterance end, sil accounts for 87.2% of phone occurrences, with duration (median, mean, 95-percentile) is (24,25.8,51) frames.
At utterance end, nonsilence accounts for 12.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,14.0,46) frames.
At utterance end, m_E accounts for 4.1% of phone occurrences, with duration (median, mean, 95-percentile) is (11,18.8,55) frames.
At utterance end, eu_E accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,13.6,47) frames.
At utterance end, ai_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,12.8,37) frames.
At utterance end, a_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,9.7,22) frames.
At utterance end, i_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (14,14.3,31) frames.
At utterance end, r_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (4,7.0,19) frames.
At utterance end, aa_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,10.5,24) frames.
At utterance end, n_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,13.7,23) frames.
Overall, nonsilence accounts for 88.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.4,20) frames.
Overall, sil accounts for 11.1% of phone occurrences, with duration (median, mean, 95-percentile) is (20,23.2,53) frames.
Overall, a_I accounts for 10.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.2,14) frames.
Overall, i_I accounts for 4.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.7,14) frames.
Overall, k_I accounts for 4.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.9,14) frames.
Overall, aa_I accounts for 3.3% of phone occurrences, with duration (median, mean, 95-percentile) is (16,16.1,26) frames.
Overall, u_I accounts for 3.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.7,13) frames.
Overall, r_I accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.7,10) frames.
Overall, eu_E accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.7,26) frames.
Overall, d_I accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.9,15) frames.
