# gunzip -c exp/mono_ali/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Wed Feb 26 15:22:15 IST 2020
#
At utterance begin, SIL accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (58,57.9,104) frames.
At utterance end, SIL accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (46,49.2,84) frames.
Overall, nonsilence accounts for 53.5% of phone occurrences, with duration (median, mean, 95-percentile) is (84,86.6,130) frames.
Overall, SIL accounts for 46.5% of phone occurrences, with duration (median, mean, 95-percentile) is (51,53.6,98) frames.
Overall, irandeunaal accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (54,68.0,115) frames.
Overall, irukkeu accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (89,103.0,150) frames.
Overall, kaaseu accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (74,75.4,115) frames.
Overall, moottar accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (85,78.4,101) frames.
Overall, aappannanum accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (74,73.5,87) frames.
Overall, anggairukkeu accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (101,101.8,115) frames.
Overall, appaa accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (65,65.3,75) frames.
Overall, appaawukeu accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (80,81.5,89) frames.
Overall, appuram accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (76,68.6,112) frames.
Overall, eettungga accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (81,79.5,101) frames.
Overall, ellaa accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (80,85.5,124) frames.
Overall, irandeuweela accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (97,100.2,130) frames.
Overall, kaaykarichedi accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (76,76.0,86) frames.
Overall, kalarirukkeudu accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (86,98.8,183) frames.
Overall, kazhiccu accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (79,80.5,123) frames.
Overall, keetteu accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (89,89.2,136) frames.
Overall, kiirai accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (91,102.2,210) frames.
Overall, kraikttairukkeu accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (99,98.4,110) frames.
Overall, kuudukkanum accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (75,73.7,87) frames.
Overall, mallichedi accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (82,82.4,90) frames.
Overall, manjjal accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (75,76.3,98) frames.
Overall, mannukkeu accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (51,51.2,57) frames.
Overall, muunu accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (122,128.2,222) frames.
Overall, niraiyauuttaata accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (81,81.3,103) frames.
Overall, podanum accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (77,76.1,91) frames.
