# gunzip -c exp/mono/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang_test_bg 
# Started at Mon Feb 10 15:24:47 IST 2020
#
At utterance begin, SIL accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (37,41.8,88) frames.
At utterance end, SIL accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (29,32.3,62) frames.
Overall, nonsilence accounts for 57.3% of phone occurrences, with duration (median, mean, 95-percentile) is (55,58.0,100) frames.
Overall, SIL accounts for 42.7% of phone occurrences, with duration (median, mean, 95-percentile) is (32,37.0,81) frames.
Overall, miss accounts for 8.7% of phone occurrences, with duration (median, mean, 95-percentile) is (37,42.7,81) frames.
Overall, enakkeu accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (42,40.3,64) frames.
Overall, appa accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (42,43.9,58) frames.
Overall, naan accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (72,59.0,87) frames.
Overall, panalaam accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (48,47.2,67) frames.
Overall, activity accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (79,83.6,123) frames.
Overall, ariviyal accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (63,61.7,81) frames.
Overall, artandcraft accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (91,90.7,100) frames.
Overall, belladichichu accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (86,88.0,106) frames.
Overall, bestfriend accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (56,55.4,92) frames.
Overall, en accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (74,87.3,181) frames.
Overall, ezhuthirukkamudiyum accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (75,76.1,104) frames.
Overall, goodafternoon accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (59,58.3,65) frames.
Overall, goodmorning accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (66,65.0,75) frames.
Overall, irubadeurooba accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (88,87.9,100) frames.
Overall, kaal accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (60,65.3,115) frames.
Overall, keezhae accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (64,58.9,133) frames.
Overall, koopidunga accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (95,89.1,115) frames.
Overall, marundu accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (52,51.2,60) frames.
